Date;hash_rate;active_addre;tran_sec;tran_num;block_size;rev_all_miners;block_reward;size_tran;trans_fees;US_bank_idx
2016-01-01;6.86999110083512e+17;316489;1.4346875;123957;66609963;3394.82080598;3375.0;66570062;19.82080598;
2016-01-02;7.466683591572191e+17;419389;1.723298611111111;148893;84062840;3656.37600479;3625.0;84021661;31.37600479;
2016-01-03;7.432370970952169e+17;394047;1.6488773148148148;142463;80425082;3649.08304879;3625.0;80388881;24.08304879;
2016-01-04;9.24970135345209e+17;418253;2.096909722222222;181173;100811640;4555.74684308;4525.0;100770969;30.74684308;320.48
2016-01-05;8.06265480040695e+17;434786;2.1089583333333333;182214;100759295;3957.27846687;3924.999999999996;100702961;32.27846687;320.47
2016-01-06;7.217389944868819e+17;379343;1.990150462962963;171949;93395603;3555.40324362;3525.000000000004;93360397;30.40324362;315.26
2016-01-07;7.59096203419657e+17;429901;2.2000810185185187;190087;103593204;3712.02453793;3675.0;103543996;37.02453793;304.34
2016-01-08;8.795540054748511e+17;413695;2.0976157407407405;181234;100971339;4357.5300229800005;4325.000000000003;100929606;32.53002298;298.17
2016-01-09;7.82941644680379e+17;450544;2.081215277777778;179817;96438477;3805.22393822;3775.000000000001;96401811;30.22393822;
2016-01-10;8.96073480357271e+17;432601;1.8650694444444444;161142;91423838;4402.95780106;4375.0;91375920;27.95780106;
2016-01-11;8.65465360973001e+17;447870;2.2109490740740743;191026;111584771;4285.904166529999;4250.0;111537099;35.90416653;299.61
2016-01-12;8.818366639726529e+17;456620;2.2535185185185185;194704;103175907;4284.70749772;4250.0;103128401;34.70749772;302.17
2016-01-13;8.090904873279871e+17;425758;2.1757291666666667;187983;100100637;3734.27954249;3700.0;100066492;34.27954249;292.4
2016-01-14;7.434491870763711e+17;427593;2.1186226851851853;183049;95569327;3356.82088874;3325.0;95539098;31.82088874;295.92
2016-01-15;6.88538292706254e+17;415698;2.1240740740740742;183520;95831460;3085.76071656;3050.0;95804554;35.76071656;286.87
2016-01-16;7.980644089785779e+17;501322;2.212476851851852;191158;105914451;3584.77336876;3550.0;105878183;34.77336876;
