roy_final
time;open;high;low;close;Upper Bollinger;Lower Bollinger;Upper Donchian;Lower Donchian;Volume;Red Arrow;Green Arrow;RSI;Put-call Ratio;Detrended Price Oscillator
1456704000;430.26;440.99;428.12;435.23;454.2244388975356;376.5475611024658;447.99;372.12;8463.34883157;0;0;63.51735322976778;1.191;50.30999999999983
1456790400;436.75;437.5;427.01;432.5;453.8583232471883;382.19767675281287;447.99;373.54;6942.06248076;0;0;61.37817170746116;876;45.61238095238076
1456876800;433.33;434.5;421.31;423.45;451.09513588467104;389.5078641153303;447.99;377.07;5785.5894872;0;0;54.79051114586901;777;33.75333333333316
1456963200;422.4;424.47;415.85;420.29;447.84835248630753;396.45664751369367;447.99;382;7472.30440784;0;0;52.66500397864671;757;27.25952380952367
1457049600;420.29;423.9;406.02;408.01;445.4347685998366;400.5722314001646;447.99;390.59;7789.00370915;0;0;45.30906250021654;836;11.814761904761724
1457136000;408.18;408.98;382;399.83;446.1003321534478;399.38966784655344;447.99;382;16436.4038611;1;0;41.182672342366104;836;1.4419047619045955
1457222400;399.77;412.31;393.11;406.23;445.2152555923275;400.96974440767383;447.99;382;5692.00930862;0;0;45.37439756611474;836;5.2038095238094115
1457308800;406.15;414.96;403.03;414.01;444.7934050100315;402.0415949899698;447.99;382;5930.58284852;0;0;50.03593904804207;831;11.284285714285545
1457395200;413.96;414.99;408.46;411.75;444.94437133587985;401.5116286641214;447.99;382;5576.2582036;0;0;48.734909957906176;963;6.786190476190313
1457481600;412.14;413.51;408.75;413;444.9778626964056;400.66013730359555;447.99;382;4882.28893015;0;0;49.51678653206423;909;5.384761904761717
1457568000;412.99;416.9;409.31;416;444.9587933179916;400.32520668200965;447.99;382;5255.29945293;0;0;51.43134434336799;983;5.685714285714198
1457654400;416;421.91;415.11;419.13;443.5317447249631;400.20225527503817;447.99;382;5950.80704899;0;0;53.416354491251134;1.014;5.7528571428569535
1457740800;419.14;420.93;406.59;410.9;441.23470454768125;399.73929545232005;440.99;382;4640.49424974;0;0;47.875689735357106;1.014;-5.300952380952538
