Date,ratio_mvrv,ratio_met,ratio_nvt,ratio_stf
2016-02-03,1.2250568349640505,10296191430.837137,10.526261586846983,408.535798448055
2016-02-04,1.289301822651291,12696488413.203588,6.7847548554000126,408.71712259015
2016-02-05,1.2752131243438578,11527615481.17287,4.589552243157595,408.445411535602
2016-02-06,1.2469833435799584,11753709499.001463,5.246905625123918,408.353334100694
2016-02-07,1.2508743938599407,10883487724.527689,5.454164691852068,408.35347300058
2016-02-08,1.2339726874870385,11896628593.02475,6.208955226796423,408.310936688788
2016-02-09,1.2399133500513142,11168758187.732775,7.429443598918193,408.361119971049
2016-02-10,1.2600135954687697,11599535439.089615,6.238749951115231,408.257243537492
2016-02-11,1.2571890353715829,11551909710.259531,6.19521566696713,407.871397449643
2016-02-12,1.2708618373644334,12326958965.256407,6.145864650169275,406.987424914559
2016-02-13,1.297676198936731,13334920071.192465,6.2311204895224,407.114036077786
2016-02-14,1.3492036821971705,12510176658.510105,5.84975790341672,407.364288933538
2016-02-15,1.322536980239542,12184574741.514526,4.200865383352448,407.431442012969
2016-02-16,1.3486023182392817,12918272346.043104,4.081537756837571,408.237613035149
2016-02-17,1.3709149401882874,11705126169.67859,4.042101942472526,408.461696052063
2016-02-18,1.3904513340479343,12937377131.651573,4.1476847008446605,408.8195426331
2016-02-19,1.3861658284771583,1256048972.8370335,3.319649761936368,409.695311767242
2016-02-20,1.430787043970791,13236958722.336893,3.846330209407003,410.258833198999
2016-02-21,1.4422641073751028,1279556351.9995615,3.803561021099003,410.920535499404
2016-02-22,1.4376460579475727,12377845542.877495,3.5882206988676626,411.832843397769
2016-02-23,1.3789515694066536,11716892435.954039,4.114178822283639,412.314691262314
2016-02-24,1.3920377610258043,13781384595.015268,4.42071952132322,412.879592622478
2016-02-25,1.390286926921115,12293310463.184015,5.192711361525824,413.358241294085
2016-02-26,1.4131406504517283,13840399507.436525,5.041358284790029,413.952827375764
2016-02-27,1.417073881262078,13870718309.64975,7.1483675564513245,414.438398228616
2016-02-28,1.41360854753765,1347402326.6476715,1.8488809115712397,414.968930620802
2016-02-29,1.4266259699847526,11838498322.421314,1.5785415937411331,415.472196149439
2016-03-01,1.4132661499728223,11707641400.72222,1.4298903741073905,416.250574864441
2016-03-02,1.3697902632511694,11505709782.096678,2.808840907270992,416.660959063309
2016-03-03,1.3668056753353082,11294048995.995155,4.633346281918621,417.11989151134
2016-03-04,1.3272438460932896,11822684116.070566,2.100081274346736,416.912499795639
2016-03-05,1.2990052628848714,11691840694.80351,0.7951602216729989,417.229365407238
2016-03-06,1.3186490396102737,14832544002.145674,8.291310599252705,417.388048505957
2016-03-07,1.3447121869313146,15415661803.876526,5.623107981802738,418.303481804918
2016-03-08,1.3399448510618104,13511240082.392162,7.344367288964976,418.425822385843
2016-03-09,1.3443151674406777,12366729037.380608,8.122792716011553,418.428776446221
2016-03-10,1.3546322106674755,14443609981.174702,7.0782159430268825,418.784263601399
2016-03-11,1.3658819412408498,15134050924.355469,7.106702636354595,418.434310707322
2016-03-12,1.3347687510344255,16677386299.936869,9.145693840084398,418.839471685308
2016-03-13,1.3424096990746377,14822435371.66998,10.167949515058934,419.115241954264
2016-03-14,1.3497855755306944,13946424647.690458,7.320400707524376,419.258214478162
2016-03-15,1.3506391553525576,14182866470.771423,5.260121567193531,419.089848745923
2016-03-16,1.3525225168981356,14284619718.148058,1.1693907860416028,418.848329314013
2016-03-17,1.3591028434312271,134415698369.54317,2.0009173401077534,419.502482087988
2016-03-18,1.3289745050079746,14340764387.080616,3.13812863948307,419.8627208937
2016-03-19,1.3302742232368765,14842615748.973341,7.702543290471755,420.197488410865
2016-03-20,1.3368469926771005,14438856254.610079,9.455787440581952,420.685718394142
2016-03-21,1.3365221973707582,14440275514.706308,8.86532899658413,421.105645224697
2016-03-22,1.350983501114304,137595663717.6306,8.03884238078597,421.393432765459
2016-03-23,1.3537410943840886,148238675706.942,9.040552455683937,422.380938804277
2016-03-24,1.337490018124878,14803023147.885736,7.79882179206643,423.132788228189
2016-03-25,1.348552933507342,15985985830.88839,8.439696620069736,423.546281832607
2016-03-26,1.3496935203271234,14013811607.808987,11.779844730336116,424.392984428325
2016-03-27,1.375151136134885,15355001757.310188,9.825932507720497,424.925210250445
2016-03-28,1.36656283848179,12585727101.012062,8.968684844162008,424.905243519463
2016-03-29,1.34511429925395,9568849777.05082,9.36379322880283,424.905019626449
2016-03-30,1.3351010421442917,1322287600.83946,9.337668298825609,425.348275292161
2016-03-31,1.3424095845698112,152326794.53309768,9.09227392573481,425.865029592112
2016-04-01,1.3471750701499965,12705073030.958158,8.58103855721546,426.585177314601
2016-04-02,1.3549287904044187,13529167692.378569,10.139786997366327,427.114615382545
2016-04-03,1.354884043622844,13853329258.465858,11.426527209253631,427.756928790289
2016-04-04,1.3529373437977117,13250759605.713772,9.256818637436126,427.699810956345
2016-04-05,1.3615078667582765,14111061375.940031,9.263007447494502,427.327485926171
2016-04-06,1.3571141799320192,13550975524.2974,8.931601490402006,427.588159120744
2016-04-07,1.3535612362028406,14541369476.710684,7.850228497916603,427.568481839704
2016-04-08,1.3454552447290469,14637478004.13957,8.828759366192601,427.639741349375
2016-04-09,1.3466900993187685,15246640406.691479,9.4976264050001,427.782012234551
2016-04-10,1.3544014111500018,14945723096.249159,10.59465563662324,427.350391942948
2016-04-11,1.358323452723821,13668960704.013338,9.84000357512363,427.078528401936
2016-04-12,1.367798432340903,12863756732.93628,7.119871435551871,427.655775008456
2016-04-13,1.361571345230712,13241930289.91257,6.877002744586643,427.672226297424
