time,Volume,RSI,Put-call Ratio,Detrended Price Oscillator,ratio_mvrv,ratio_nvt,Value_M3,Value_CPI,Value_EFF,Value_SP500,Variation_UStotal,Value_USunem,tran_num,block_size,block_reward,trans_fees,US_bank_idx,balance-10,balance-10k,balance-100,percent-of-supply,unrealized-profit,log_return,HL_sprd,CO_sprd,vol_current,vol_future
2017-07-23,9.305829135894324,57.941943199832345,747.0,232.53523809523904,2.872321507928401,13.986053478310223,0.0043874805343859,0.0578455427894175,1.15,1.93,0.143110263050293,4.3,180859,117536497,2150.0,125.37693822,414.98,148172.0,113.0,18085.0,0.364254922835644,0.651496640330198,-0.02998936609510494,-2.5483617353839803,-0.02683356815655517,0.06638011759266743,0.06739586192706863
2017-07-24,9.210531860251132,58.20456645032719,823.0,261.2804761904772,2.863397859605254,9.05860049522112,0.0043874805343859,0.0578455427894175,1.15,1.93,0.143110263050293,4.3,239894,159207492,2225.0,166.96352984,417.52,148221.0,113.0,18137.0,0.364061310482318,0.651633393329144,0.003978948796484971,-3.327858862173539,0.0011535113174694705,0.06576775059991799,0.0676943186981765
2017-07-25,9.967707953024785,51.98030622495754,801.0,88.58142857142957,2.6334233041716,2.439004796832093,0.0043874805343859,0.0578455427894175,1.15,1.93,0.143110263050293,4.3,243888,138269640,1850.0,168.49293292,425.0,148492.0,113.0,18160.0,0.360781812690353,0.626578882172875,-0.07333513260426638,-2.0633905776840806,-0.0707005561694957,0.06703858348773685,0.06784630477718431
2017-07-26,9.782092188973612,50.786636136248,738.0,76.71095238095313,2.589548434957225,5.1905041674675205,0.0043874805343859,0.0578455427894175,1.15,1.93,0.143110263050293,4.3,237706,142198807,1837.5,167.53481996,420.6,148778.0,113.0,18206.0,0.36068676588873,0.621410494608922,-0.01565119839828366,-2.491849535217512,-0.015498647036346765,0.06682402867551483,0.06778773895156948
2017-07-27,9.378095958177907,54.75705065277155,904.0,245.87952380952493,2.710432458575513,9.188325429563433,0.0043874805343859,0.0578455427894175,1.15,1.93,0.143110263050293,4.3,225215,142235422,1925.0,166.27056958,419.47,149039.0,112.0,18215.0,0.360657352518087,0.634269263140913,0.054465892718083,-2.666104446282664,0.05597645931271021,0.06676687391960613,0.06797935184957404
2017-07-28,9.55176471892923,57.63913300337274,0.83,365.85571428571575,2.7796112049977864,4.782466216347216,0.0043874805343859,0.0578455427894175,1.15,1.93,0.143110263050293,4.3,247057,137529511,1875.0,188.43132327,416.69,149287.0,114.0,18237.0,0.360887053235634,0.640698743725784,0.040671814284936936,-2.7981668514327307,0.04151024066788443,0.06719253315331573,0.06809831146913121
2017-07-29,9.28565353172628,54.3877061744609,0.83,281.69857142857245,2.647034932166981,4.552054447515211,0.0043874805343859,0.0578455427894175,1.15,1.93,0.143110263050293,4.3,210977,136935895,1962.5,156.46665323,416.69,149580.0,111.0,18276.0,0.357449742070004,0.62507442003562,-0.035349081407917815,-2.857672916831395,-0.03473159981418874,0.06749924342626412,0.07248690951375517
2017-07-30,9.177627209817254,56.09690610620272,0.83,357.5414285714296,2.6277803625292373,2.0160905985526445,0.0043874805343859,0.0578455427894175,1.15,1.93,0.143110263050293,4.3,183998,119119592,1837.5,138.11682207,416.69,149383.0,110.0,18288.0,0.357033587517823,0.620090331662477,0.022796782119725023,-2.594739227431024,0.022661843675417657,0.06739586192706863,0.07216613921252867
2017-07-31,9.315991044333382,59.12429599918695,918.0,455.1033333333344,2.6754879528437963,6.905776377832481,0.0043874805343859,0.0578455427894175,1.15,1.93,0.143110263050293,4.3,230867,134374692,1812.5,194.86886623,420.09,149358.0,115.0,18482.0,0.350267359187458,0.625295782042292,0.040533005615431605,-2.6100985065490443,0.04007997785676815,0.0676943186981765,0.0726701066314159
2017-08-01,9.435488048977833,54.65850087685604,883.0,320.5547619047625,2.520989875191232,7.075328588978938,0.0040392980271386,0.1221057212533955,1.16,0.05,0.1225156547781105,4.4,131726,108068453,1862.5,75.94662047,424.27,149090.0,108.0,18290.0,0.350106442983924,0.605428404799474,-0.04468767316213196,-2.1624888807963596,-0.043703887863688395,0.06784630477718431,0.07259783913100523
