time,Value_M3,Value_CPI,Value_EFF,Value_SP500,Value_USpce,Value_USreal,Variation_UStotal,Value_USunem
2021-12-21,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-22,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-23,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-24,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-25,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-26,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-27,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-28,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-29,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-30,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2021-12-31,0.010991805307394298,0.03339695987797331,0.08,4.36,5.97,7.0,0.38065981033791907,3.9
2022-01-01,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-02,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-03,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-04,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-05,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-06,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-07,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-08,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-09,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-10,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-11,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-12,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-13,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-14,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-15,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-16,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-17,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-18,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-19,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-20,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-21,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-22,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-23,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-24,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-25,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-26,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-27,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-28,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-29,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-30,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
2022-01-31,0.0005382492311922782,0.06302509961410685,0.08,-5.26,6.12,,0.24648591033242287,4.0
