time,open,high,low,close,Upper Bollinger,Lower Bollinger,Upper Donchian,Lower Donchian,Volume,RSI,Put-call Ratio,Detrended Price Oscillator,ratio_mvrv,ratio_nvt,ratio_stf,Value_M3,Value_CPI,Value_EFF,Value_SP500,Value_USpce,Variation_UStotal,Value_USunem,hash_rate,active_addre,tran_sec,tran_num,block_size,rev_all_miners,block_reward,size_tran,trans_fees,US_bank_idx,thermocap-usd,price-usd,block-height,supply-btc,destroyed-cvdd,delta-cap-usd,capitalization,market-cap-usd,ratio-mvrv,created-utxos-btc,spent-utxos-btc,mining-difficulty,z-score,balance-0-1,balance-0-01,balance-1,balance-1k,balance-10,balance-10k,balance-100,number-of-addresses,number-of-utxos,percent-of-supply,price-drawdown,cap-usd,realized-price-usd,unrealized-profit,stock-to-flow,active-3y-5y-btc,active-5y-7y-btc
2016-02-29,430.26,440.99,428.12,435.23,454.2244388975356,376.5475611024658,447.99,372.12,8463.34883157,63.51735322976778,1.191,50.30999999999983,1.4266259699847526,1.5785415937411331,415.472196149439,0.0069614891617331,-0.9925875053802126,0.38,-0.41,0.59,0.1742767514813523,4.9,1.10451834760491e+18,562740,3.069293981481481,265187,121468795,3380.28146424,3325.0,121438053,55.28146424,271.74,1594202902.5313952,235.6638053370537,400600.0,15265025.0,178.723845873797,2174552261.967262,3075554052.7766447,6661996545.959377,1.4266259699847526,0.0995,0.11559254,7.02191311002898e+20,0.687511980103638,1290933.0,2668041.0,525570.0,1795.0,137256.0,107.0,16921.0,130439086.0,30149193.0,0.241849223647711,-0.6246287618687547,4669756955.30804,305.9121721260227,0.39913938115051,415.472196149439,1513813.8194141,1925303.56579888
2016-03-01,436.75,437.5,427.01,432.5,453.8583232471883,382.19767675281287,447.99,373.54,6942.06248076,61.37817170746116,876.0,45.61238095238076,1.4132661499728223,1.4298903741073905,416.250574864441,0.0047780568148463,836.6264492041659,0.36,6.6,0.63,0.167026237038068,5.0,1.11519198544084e+18,564995,3.205474537037037,276953,127610061,3585.06599979,3525.000000000001,127578297,60.06599979,284.43,1595730900.3681264,235.91457167764773,400741.0,15268550.0,179.733826746607,2183267051.3014026,3084745493.500264,6614758853.201059,1.4132661499728223,0.07840829,0.1121458,7.02191311002898e+20,0.665746659841313,1296417.0,2684325.0,527860.0,1778.0,137635.0,107.0,16945.0,130726654.0,29483703.0,0.241793069583047,-0.6273764233077144,4680476393.86839,306.54360721014046,0.394330175621644,416.250574864441,1512679.50588342,1921633.00669888
2016-03-02,433.33,434.5,421.31,423.45,451.09513588467104,389.5078641153303,447.99,377.07,5785.5894872,54.79051114586901,777.0,33.75333333333316,1.3697902632511694,2.808840907270992,416.660959063309,0.0047780568148463,836.6264492041659,0.36,6.6,0.63,0.167026237038068,5.0,1.26774112334788e+18,557668,3.125567129629629,270049,141344024,4017.1532549600006,3924.999999999999,141303614,92.15325496,289.16,1597422189.7609613,236.01738667317508,400898.0,15272475.0,179.93773812629,2185080519.043069,3086773876.528178,6416366162.762293,1.3697902632511694,0.1,0.11,7.02191311002898e+20,0.598508001354236,1290902.0,2686654.0,523249.0,1776.0,137584.0,108.0,16939.0,131026206.0,28043899.0,0.241694125682522,-0.6386452012065806,4684196066.28914,306.7083800293757,0.384762734328288,416.660959063309,1511239.88543438,1918310.54669887
2016-03-03,422.4,424.47,415.85,420.29,447.84835248630753,396.45664751369367,447.99,382.0,7472.30440784,52.66500397864671,757.0,27.25952380952367,1.3668056753353082,4.633346281918621,417.11989151134,0.0047780568148463,836.6264492041659,0.36,6.6,0.63,0.167026237038068,5.0,1.10753139295017e+18,567143,2.5638541666666668,221517,124312415,3431.09368275,3374.9999999999995,124277400,56.09368275,291.86,1598836979.6690023,235.9763791442206,401033.0,15275850.0,180.269719246983,2185343548.199346,3087521107.1631374,6405340829.735686,1.3668056753353082,0.0254803,0.07416,7.02191311002898e+20,0.593325182543791,1271829.0,2665343.0,508938.0,1783.0,137048.0,111.0,16957.0,131263617.0,27887470.0,0.241606563103662,-0.63934582173463,4686358086.83214,306.78214874014475,0.38260888432151,417.11989151134,1510090.18028828,1914438.37669887
2016-03-04,420.29,423.9,406.02,408.01,445.4347685998366,400.5722314001646,447.99,390.59,7789.00370915,45.30906250021654,836.0,11.814761904761724,1.3272438460932896,2.100081274346736,416.912499795639,0.0047780568148463,836.6264492041659,0.36,6.6,0.63,0.167026237038068,5.0,1.25185787811023e+18,526315,2.399652777777778,207330,121918613,3926.56297271,3875.000000000003,121878851,51.56297271,293.47,1600456909.7171292,235.9682958402149,401188.0,15279725.0,180.453853329232,2185430969.910845,3087796879.4153905,6222455990.549684,1.3272438460932896,0.04631092,0.047,6.80439658977675e+20,0.53941479052065,1264350.0,2644945.0,504634.0,1779.0,135906.0,110.0,17053.0,131494911.0,27252938.0,0.241669266313979,-0.6497320462736811,4688253789.13252,306.828414067172,0.37402601782009,416.912499795639,1509082.29353057,1913040.57669887
2016-03-05,408.18,408.98,382.0,399.83,446.1003321534478,399.38966784655344,447.99,382.0,16436.4038611,41.1826723423661,836.0,1.4419047619045957,1.2990052628848714,0.7951602216729989,417.229365407238,0.0047780568148463,836.6264492041659,0.36,6.6,0.63,0.167026237038068,5.0,1.17958497170422e+18,520919,2.7180787037037035,234842,117005580,3812.07709524,3750.000000000005,116971801,62.07709524,293.47,1601958026.1173997,235.6666233935098,401338.0,15283475.0,181.130698136853,2184023878.907723,3086631109.6728406,6090501962.896353,1.2990052628848714,0.05683344,0.1302,6.80439658977675e+20,0.480572651950164,1230883.0,2614391.0,476115.0,1783.0,135862.0,111.0,17001.0,131743168.0,26659841.0,0.241393479070542,-0.6572439840344907,4688589135.79024,306.7750714932462,0.365954427558903,417.229365407238,1503745.88573886,1910868.25679887
2016-03-06,399.77,412.31,393.11,406.23,445.2152555923275,400.9697444076738,447.99,382.0,5692.00930862,45.37439756611474,836.0,5.203809523809412,1.3186490396102737,8.291310599252705,417.388048505957,0.0047780568148463,836.6264492041659,0.36,6.6,0.63,0.167026237038068,5.0,1.16094565075044e+18,417030,1.870266203703704,161591,93070718,3739.12461422,3700.000000000005,93024229,39.12461422,293.47,1603448916.1009753,235.69529524710305,401486.0,15287175.0,181.293044487188,2184521317.408125,3087424575.941285,6185615825.214816,1.3186490396102737,0.0151,0.02641955,6.80439658977675e+20,0.516053040857767,1227402.0,2607114.0,475381.0,1780.0,135490.0,110.0,17011.0,131922275.0,27261808.0,0.241501534159311,-0.6519755019202929,4690873492.04226,306.8502514063102,0.370678714141719,417.388048505957,1505315.45866307,1905743.69679887
2016-03-07,406.15,414.96,403.03,414.01,444.7934050100315,402.0415949899698,447.99,382.0,5930.58284852,50.03593904804207,831.0,11.284285714285543,1.3447121869313146,5.623107981802738,418.303481804918,0.0047780568148463,836.6264492041659,0.36,6.6,0.63,0.167026237038068,5.0,1.06341184277727e+18,409449,2.1194675925925925,183122,94209279,3368.73955784,3325.0000000000027,94179191,43.73955784,292.84,1604806008.8433096,235.72996546702072,401619.0,15290500.0,181.576359018915,2185688546.2270703,3089081182.243661,6311927309.935445,1.3447121869313146,0.04837334,0.04656378,6.80439658977675e+20,0.573172732585535,1230915.0,2615611.0,475812.0,1804.0,135679.0,107.0,17059.0,132127366.0,27770197.0,0.241496273492339,-0.6449459987760844,4693887191.08697,306.98062137189567,0.375864056653907,418.303481804918,1504715.51303581,1902716.19679887
2016-03-08,413.96,414.99,408.46,411.75,444.9443713358799,401.5116286641214,447.99,382.0,5576.2582036,48.734909957906176,963.0,6.786190476190313,1.3399448510618104,7.344367288964976,418.425822385843,0.0047780568148463,836.6264492041659,0.36,6.6,0.63,0.167026237038068,5.0,1.19495173428091e+18,465704,2.3164814814814814,200144,104776474,3894.92403847,3850.000000000002,104741858,44.92403847,285.36,1606392006.6852152,235.7248817316961,401773.0,15294350.0,181.772471728454,2185859899.5285144,3089501668.598675,6292238551.330369,1.3399448510618104,0.0389,0.05177867,6.80439658977675e+20,0.550303540797085,1235498.0,2620099.0,476536.0,1818.0,135745.0,108.0,17048.0,132362177.0,27672172.0,0.241793197362657,-0.6461426145497451,4695893675.28389,307.03453728232256,0.374252707140447,418.425822385843,1509823.56128476,1898779.16679887
2016-03-09,412.14,413.51,408.75,413.0,444.9778626964056,400.6601373035956,447.99,382.0,4882.28893015,49.51678653206423,909.0,5.384761904761717,1.3443151674406777,8.122792716011553,418.428776446221,0.0047780568148463,836.6264492041659,0.36,6.6,0.63,0.167026237038068,5.0,1.3085378057263e+18,510416,2.2016203703703705,190220,125013289,4254.68048263,4199.999999999997,124967008,54.68048263,284.98,1608119473.4191306,235.5259888672717,401941.0,15298550.0,182.042099629135,2183581922.7214665,3087339241.34108,6312176368.343661,1.3443151674406777,0.04485776,0.02172995,6.80439658977675e+20,0.557815218153318,1233801.0,2576147.0,476005.0,1821.0,135751.0,108.0,17044.0,132582894.0,27783949.0,0.241963810866286,-0.6451188234573015,4695458714.76021,306.9218138163558,0.375047476536391,418.428776446221,1511959.25192963,1895869.14679887
